Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockV1Dialog,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,AttachmentDatabase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,AttachmentDatabase.TransformProperties,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,MmsSmsColumns.Types,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,XmlBackup.XmlBackupItem,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,XmlBackup.Writer,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,RecipientDatabase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 27
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,RecipientDatabase.RecipientSettings,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,RecipientDatabase.RecipientReader,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,RecipientDatabase.MissingRecipientException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,MmsDatabase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 33
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,MmsDatabase.Status,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,MmsDatabase.MmsNotificationInfo,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,ThreadDatabase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,ThreadDatabase.DistributionTypes,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,ThreadDatabase.Extra,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,StickerDatabase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,StickerDatabase.StickerRecordReader,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,StickerDatabase.StickerPackRecordReader,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,DatabaseFactory,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 31
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,JobDatabase,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: JOBS_TABLE_NAME (21); CONSTRAINTS_TABLE_NAME (22); DEPENDENCIES_TABLE_NAME (23)
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,PushDatabase.Reader,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,IdentityDatabase.IdentityRecord,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,DraftDatabase.Draft,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,DraftDatabase.Drafts,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,GroupDatabase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,GroupDatabase.Reader,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,GroupDatabase.GroupRecord,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,GroupDatabase.V2GroupProperties,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,SessionDatabase.SessionRow,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,SmsMigrator,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,SmsMigrator.ProgressDescription,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,MediaDatabase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,MediaDatabase.MediaRecord,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,MediaDatabase.StorageBreakdown,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,SmsDatabase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,SmsDatabase.Status,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,SmsDatabase.OutgoingMessageReader,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,MessagingDatabase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,MessagingDatabase.SyncMessageId,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,MessagingDatabase.ExpirationInfo,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,MessagingDatabase.MarkedMessageInfo,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,MessagingDatabase.InsertResult,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,MmsSmsDatabase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,GroupReceiptDatabase.GroupReceiptInfo,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
