Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
GoGreen-0.1.3,(default package),MavenWrapperDownloader,4,0,2,1,73,6,0,0,1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/GoGreen-0.1.3/server/.mvn/wrapper/MavenWrapperDownloader.java,29
GoGreen-0.1.3,groupxii.solarpanels,PanelCalculationsTest,0,0,3,3,17,3,0,0,-1.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/test/java/groupxii/solarpanels/PanelCalculationsTest.java,13
GoGreen-0.1.3,groupxii.solarpanels,CalculatedPanelTest,0,0,2,2,14,2,0,0,-1.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/test/java/groupxii/solarpanels/CalculatedPanelTest.java,12
GoGreen-0.1.3,groupxii.solarpanels,PanelCalculations,0,0,1,1,13,1,0,0,-1.0,2,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/solarpanels/PanelCalculations.java,7
GoGreen-0.1.3,groupxii.solarpanels,CalculatedPanel,1,0,2,2,14,2,0,0,0.0,3,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/solarpanels/CalculatedPanel.java,4
GoGreen-0.1.3,groupxii.database,DatabaseTest,6,0,15,15,113,15,0,0,0.4666666666666667,0,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/test/java/groupxii/database/DatabaseTest.java,26
GoGreen-0.1.3,groupxii.database,UserEntryTest,5,0,12,12,57,12,0,0,0.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/test/java/groupxii/database/UserEntryTest.java,13
GoGreen-0.1.3,groupxii.database,EntryTest,0,0,0,0,10,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/test/java/groupxii/database/EntryTest.java,7
GoGreen-0.1.3,groupxii.database,EntryTest.SimpleEntry,0,0,0,0,8,0,0,1,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/test/java/groupxii/database/EntryTest.java,8
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,1,0,9,9,49,9,0,0,0.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/test/java/groupxii/database/VehicleListEntryTest.java,10
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,1,0,9,9,46,9,0,0,0.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/test/java/groupxii/database/PanelListEntryTest.java,11
GoGreen-0.1.3,groupxii.database,VehicleListPublicTest,0,0,3,3,16,3,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/test/java/groupxii/database/VehicleListPublicTest.java,7
