Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequestTest,testGetErrorMessage,2,1,0,37,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,OTPGeocoding,OTPGeocoding,8,1,6,56,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,OTPGeocoding,onPreExecute,2,1,0,67,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,OTPGeocoding,doInBackground,5,1,1,71,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,OTPGeocoding,onCancelled,14,2,1,77,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,OTPGeocoding,onClick,2,1,2,86,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,OTPGeocoding,onPostExecute,3,1,1,97,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,TripRequest,11,2,5,79,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,onPreExecute,10,3,0,92,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,doInBackground,15,3,1,104,0,edu.usf.cutr.opentripplanner.android.tasks.TripRequest,edu.usf.cutr.opentripplanner.android.tasks.TripRequest
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,onCancelled,22,3,1,124,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,onClick,2,1,2,141,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,onPostExecute,38,8,1,152,0,edu.usf.cutr.opentripplanner.android.tasks.TripRequest,edu.usf.cutr.opentripplanner.android.tasks.TripRequest
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,getErrorMessage,50,16,1,202,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,requestPlan,66,8,3,248,0,edu.usf.cutr.opentripplanner.android.tasks.TripRequest,edu.usf.cutr.opentripplanner.android.tasks.TripRequest
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,disableConnectionReuseIfNecessary,5,2,0,336,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,BikeRentalLoad,BikeRentalLoad,5,1,3,58,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,BikeRentalLoad,onPreExecute,2,1,0,65,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,BikeRentalLoad,doInBackground,29,3,1,69,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,BikeRentalLoad,onPostExecute,16,3,1,101,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerSelector,ServerSelector,12,2,6,96,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerSelector,onPreExecute,10,2,0,118,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerSelector,doInBackground,25,6,1,135,0,edu.usf.cutr.opentripplanner.android.tasks.ServerSelector,edu.usf.cutr.opentripplanner.android.tasks.ServerSelector
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerSelector,getServersFromSQLite,21,3,0,178,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerSelector,downloadServerList,75,8,1,205,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerSelector,insertServerListToDatabase,9,3,1,292,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerSelector,findOptimalSever,18,5,1,302,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerSelector,onPostExecute,86,13,1,332,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerSelector,onClick,46,7,2,373,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerSelector,onClick,16,3,2,398,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerSelector,onServerCheckerComplete,50,9,4,461,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,RequestTimesForTrips,RequestTimesForTrips,4,1,2,59,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,RequestTimesForTrips,onPreExecute,2,1,0,64,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,RequestTimesForTrips,doInBackground,41,6,1,68,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,RequestTimesForTrips,onPostExecute,10,2,1,115,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerChecker,ServerChecker,9,2,3,66,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerChecker,ServerChecker,12,2,6,79,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerChecker,onPreExecute,10,3,0,97,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerChecker,doInBackground,88,11,1,112,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerChecker,onCancelled,4,1,0,225,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerChecker,onPostExecute,35,8,1,233,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,MetadataRequest,MetadataRequest,9,2,3,58,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,MetadataRequest,onPreExecute,10,3,0,69,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,MetadataRequest,doInBackground,33,4,1,81,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,MetadataRequest,onPostExecute,20,4,1,119,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.test,BoundsTest,setUp,57,1,0,44,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.test,BoundsTest,testBoundsEvaluation,46,1,0,126,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.maps,CustomUrlTileProvider,CustomUrlTileProvider,4,1,3,28,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.maps,CustomUrlTileProvider,getTileUrl,9,1,3,33,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,DirectionListFragment,onAttach,9,1,1,76,0,edu.usf.cutr.opentripplanner.android.fragments.DirectionListFragment,edu.usf.cutr.opentripplanner.android.fragments.DirectionListFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,DirectionListFragment,onCreateView,5,1,3,87,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,DirectionListFragment,onActivityCreated,108,14,1,98,0,edu.usf.cutr.opentripplanner.android.fragments.DirectionListFragment,edu.usf.cutr.opentripplanner.android.fragments.DirectionListFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,DirectionListFragment,onClick,3,1,1,106,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,DirectionListFragment,onItemSelected,19,4,4,191,0,edu.usf.cutr.opentripplanner.android.fragments.DirectionListFragment,edu.usf.cutr.opentripplanner.android.fragments.DirectionListFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,DirectionListFragment,onNothingSelected,2,1,1,226,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,DirectionListFragment,openIfNonTransit,10,3,0,260,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,DirectionListFragment,setDepartureArrivalHeaders,12,2,0,272,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,DirectionListFragment,onSaveInstanceState,4,1,1,293,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,DirectionListFragment,getFragmentListener,3,1,0,300,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,DirectionListFragment,setFragmentListener,3,1,1,307,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,removeOnGlobalLayoutListener,14,3,2,365,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,setNeedToUpdateServersList,3,1,1,383,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,setNeedToRunAutoDetect,3,1,1,387,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onAttach,10,1,1,391,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onCreate,16,3,1,403,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onBackStackChanged,9,3,0,410,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onCreateView,71,5,3,424,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onGlobalLayout,19,2,0,436,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onActivityCreated,48,7,1,538,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,initializeMapInterface,11,1,1,620,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,addInterfaceListeners,592,61,0,635,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onMapClick,12,2,1,638,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onFocusChange,25,8,2,656,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onMarkerDrag,2,1,1,690,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onMarkerDragEnd,38,7,1,694,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onMarkerDragStart,5,1,1,738,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onMapLongClick,23,2,1,749,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onClick,9,2,2,766,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onClick,3,1,1,783,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onInfoWindowClick,18,3,1,792,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onDrawerStateChanged,2,1,1,820,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onDrawerSlide,5,1,2,824,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onDrawerOpened,6,1,1,832,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onDrawerClosed,10,2,1,841,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onDrawableTouch,47,6,1,871,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onClick,36,6,2,884,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onDrawableTouch,47,6,1,943,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onClick,36,6,2,956,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onItemClick,6,1,4,1017,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onTextChanged,2,1,4,1030,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,beforeTextChanged,2,1,4,1034,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,afterTextChanged,13,3,1,1039,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onTextChanged,2,1,4,1056,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,beforeTextChanged,2,1,4,1060,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,afterTextChanged,13,3,1,1065,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onEditorAction,30,9,3,1084,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onClick,4,1,1,1135,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onClick,16,4,1,1147,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onClick,22,3,1,1171,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onClick,67,10,1,1205,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onItemSelected,7,3,4,1286,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onNothingSelected,2,1,1,1296,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onRangeSeekBarValuesChanged,3,1,3,1308,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onCheckedChanged,3,1,2,1320,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onCheckedChanged,6,1,2,1327,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onCheckedChanged,13,3,2,1337,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onCheckedChanged,3,1,2,1355,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onCheckedChanged,3,1,2,1362,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onCheckedChanged,3,1,2,1369,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onItemClick,15,3,4,1376,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,restorePanelUI,5,1,0,1399,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,restoreOptimization,12,2,0,1410,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,restoreBikeParameters,15,3,0,1428,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,restoreTraverseModes,43,6,0,1449,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,getSelectedTraverseModeSet,9,1,0,1495,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,updateModes,6,1,1,1508,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,processRequestTrip,5,2,0,1515,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,saveOTPBundle,6,1,0,1525,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,restoreState,61,12,1,1541,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,enableUIElements,17,2,1,1642,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,toggleItinerarySelectionSpinner,23,3,1,1665,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,requestTrip,129,21,0,1699,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,retrieveMap,16,4,1,1882,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,showBikeParameters,4,1,1,1917,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,setBikeOptimizationAdapter,37,8,2,1928,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,setRangeSeekBarStateColors,12,2,2,2003,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,disableEnableControls,16,4,2,2023,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,removeFocus,16,5,1,2047,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,runAutoDetectServer,14,2,2,2070,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,runAutoDetectServerNoLocation,10,1,1,2102,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,setSelectedServer,7,2,2,2123,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,restartMap,35,10,0,2143,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,restartTextBoxes,10,1,0,2185,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,setLocationTb,11,2,2,2207,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,setMarker,61,10,4,2227,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,setMarkerPosition,20,4,2,2307,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,addStartEndMarker,16,3,2,2334,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,getLocationTbText,21,4,1,2370,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,updateMarkerPosition,11,2,2,2389,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onStart,13,3,0,2407,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,connectLocationClient,5,2,0,2433,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,disconnectLocationClient,5,2,0,2445,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onSaveInstanceState,54,7,1,2456,0,,
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,processAddress,3,1,3,2528,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,processAddress,39,6,5,2542,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onResume,5,1,0,2601,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.fragments,MainFragment,onPause,4,1,0,2610,0,edu.usf.cutr.opentripplanner.android.fragments.MainFragment,edu.usf.cutr.opentripplanner.android.fragments.MainFragment
